OTU,Sample,Abundance,SampleID,Study_group,PigID,Group,Cohort,Gender,Age_days,Age_week,Housing_facility,Housing_facility1,Sampling,sampling1,TimePre_PosPart,pre_post_delivery,plain_mac,mac.tet,mac.cef,mac.gen,mac.sulfa,mac.amp,mac.strep,mac.azthr,mac.chl,plain_Ent,Ent.tet,Ent.nal,Ent.gen,ENT.tylo,Ent.ery,Ent.linco,Ent.len,Ent.nitrof,Ent.pen,Ent.strep,log10.16s,log10tetAcopies.gram,log10ctxmcopies.gram1.1,Raw_ASVcount,RawInput,From_Cutadapt,Dada2filtered,percentage_inputpassedfilter,denoised,merged,percentage.of.input.merged,non.chimeric,percentage.of.input.non.chimeric,Length_filtered_Counts,input_newdada2,filtered_newdada2,denoisedF_newdada2,denoisedR_newdada2,merged_newdada2,nonchim_newdada2,X.retained_newdada2,S.Name.DMM,assignment_all_dmm_sow,assignment_all_dmm_sow_rearrange,Kingdom,Phylum,Class,Order,Family,Genus,plotabun7
ASV89,VV123,206.710311,VV123.E3,Breeder_sows,389,389.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.89,5.88,4.85,0,4.35,5.11,4.83,3.9,0,6.44,5.51,4.43,0,0,3.2,4.23,0,3.2,3.81,0,9.82,5.75,5.79,105001,164945,155100,145945,94.1,143382,126036,81.26,105009,67.7,105001,164945,153662,150329,147595,127199,112124,0.679765983,VV123,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV140,195.9044369,VV140.F8,Breeder_sows,391,391.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,NA,6.83,6.54,0,0,4.41,4.48,0,4.66,4.53,6.21,5.77,4.45,0,0,0,4.58,0,0,0,4.02,9.76,5.21,5.43,96548,149635,136858,128593,93.96,126533,115572,84.45,96552,70.55,96548,149635,137323,134789,133148,119033,104236,0.696601731,VV140,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV125,189.5886889,VV125.E5,Breeder_sows,363,363.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.65,5.71,0,4.71,5.34,4.65,5.01,5.3,0,6.46,5.17,4.28,0,3.51,0,3.81,0,4.11,0,0,9.66,5.2,5.38,99409,170028,159293,149301,93.73,146294,129413,81.24,99418,62.41,99409,170028,157368,153675,151151,128955,105780,0.622132825,VV125,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV129,186.8153754,VV129.E9,Breeder_sows,292,292.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,NA,6.76,5.65,5.47,4.74,5.2,5.45,5.32,3.6,4.2,6.63,6.01,4.64,4.35,3.94,4.16,4.02,0,4.02,3.98,0,9.7,5.38,5.75,98719,160527,148775,139224,93.58,136668,122671,82.45,98727,66.36,98719,160527,148185,145143,143202,124308,106087,0.660867019,VV129,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV126,182.4737762,VV126.E6,Breeder_sows,366,366.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.69,5.68,0,4.11,4.83,5.39,5.22,5.22,4.11,6.52,5.35,0,0,0,0,0,0,0,0,0,9.92,5.19,5.9,109456,177098,162649,151644,93.23,149305,134908,82.94,109458,67.3,109456,177098,162012,158745,157331,138504,117794,0.665134558,VV126,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV082,177.4119799,VV082.A10,Breeder_sows,296,296.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,NA,6.5,5.47,0,0,3.81,4.81,0,0,0,6.35,6.27,4.7,0,4.75,3.38,4.81,0,3.38,0,0,11.28,6.34,5.46,96113,144475,134135,125542,93.59,124039,114834,85.61,96115,71.66,96113,144475,133163,131158,129822,116146,101787,0.704530196,VV082,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV130,174.3034769,VV130.E10,Breeder_sows,296,296.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,NA,6.74,5.53,4.55,4.41,4.94,5.52,5.14,3.68,4.05,6.44,6.28,4.72,4.41,4.35,4.33,4.16,0,3.98,0,0,10.41,5.74,5.66,95141,142549,134302,125940,93.77,124091,113725,84.68,95145,70.84,95141,142549,131813,129388,127957,114525,100471,0.704817291,VV130,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV131,173.0328495,VV131.E11,Breeder_sows,389,389.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,NA,6.69,5.76,5.58,0,5.05,5.2,4.87,4.25,3.81,6.41,6.1,4.74,0,3.6,4.16,4.13,0,0,0,0,9.85,5.84,1,86342,140201,129945,121781,93.72,119548,104854,80.69,86348,66.45,86342,140201,129858,126975,124792,107163,93480,0.666757013,VV131,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV121,170.9821429,VV121.E1,Breeder_sows,292,292.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.7,5.66,3.98,5.44,5.06,5.44,4.62,0,0,6.59,6.32,4.11,4.58,4.46,4.46,4.35,0,3.38,0,0,9.76,5.6,5.78,95688,168610,158108,147793,93.48,144543,127415,80.59,95697,60.53,95688,168610,155118,151047,149310,125602,101501,0.601986834,VV121,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV116,163.1568962,VV116.D8,Breeder_sows,391,391.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.9,5.54,0,4.58,5.2,5.41,4.85,4.3,0,6.26,5.83,4.18,0,3.75,3.75,3.86,0,0,3.81,4.11,10.13,5.54,6.28,91788,150030,140245,131655,93.88,128897,112874,80.48,91798,65.46,91788,150030,139220,135992,133719,114372,98672,0.657681797,VV116,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV081,157.3593074,VV081.A9,Breeder_sows,292,292.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,NA,6.4,5.5,5.36,0,5.27,5.27,4.2,4.63,4.52,6.63,6.58,4.71,4.28,4.65,4.3,4.66,0,3.6,0,4.92,11.08,6.85,6.75,115997,177169,166706,155409,93.22,153344,142253,85.33,116008,69.59,115997,177169,163390,160335,159439,141562,122710,0.692615525,VV081,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV099,151.0451787,VV099.C3,Breeder_sows,389,389.T4,1,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,NA,6.63,5.58,3.98,0,4.71,3.98,4.58,0,3.2,6.63,5.95,4.11,0,4.86,4.16,4.86,0,0,0,3.81,10.15,5.45,5.91,100491,160077,149133,138578,92.92,136178,122648,82.24,100498,67.39,100491,160077,146641,143651,142034,124522,107313,0.670383628,VV099,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV119,139.1504018,VV119.D11,Breeder_sows,369,369.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.74,5.71,3.51,0,0,4.51,0,0,0,6.82,6.36,4.11,3.81,5.39,5.42,5.44,0,4.11,4.28,0,9.31,5.63,6.36,82983,139365,129802,123076,94.82,120774,106636,82.15,82988,63.93,82983,139365,130285,127324,125785,108392,89317,0.640885445,VV119,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV137,134.5593182,VV137.F5,Breeder_sows,292,292.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,NA,6.81,6.18,0,0,0,4.52,0,4.51,0,5.85,0,0,0,0,3.38,4.75,0,4.37,0,4.16,9.17,6.82,5.91,90280,147395,135004,126678,93.83,124450,112911,83.64,90282,66.87,90280,147395,135043,132097,130474,115191,97420,0.66094508,VV137,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV120,130.6990881,VV120.D12,Breeder_sows,379,379.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.83,5.81,4.41,4.55,4.95,5.47,5.25,5.21,3.81,6.7,6.4,4.74,0,5.46,5.41,5.53,0,0,4.11,0,11.1,5.93,6.45,90329,150261,140249,131916,94.06,129246,112465,80.19,90338,64.41,90329,150261,139409,136080,133930,114504,97082,0.646089138,VV120,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV114,115.521327,VV114.D6,Breeder_sows,296,296.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.66,5.72,0,4.71,0,4.55,4.55,2.9,0,6.09,5.63,3.51,4.28,3.68,3.6,0,0,3.75,3.98,3.81,9.89,5.53,5.75,99442,167535,155662,145167,93.26,142053,124523,80,99459,63.89,99442,167535,153977,149912,147414,125305,106546,0.635962635,VV114,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV111,108.3707025,VV111.D3,Breeder_sows,369,369.T5,2,F,154,22,Gestation barn,Second growing,1 day prior to moving to sows barn,Growing,-28,NA,6.67,5.7,4.58,0,4.2,4.46,3.98,4.28,0,6.44,6.36,4.71,0,0,0,4.98,0,0,4.2,3.51,9.78,6.59,6.26,96343,156100,146961,137962,93.88,134908,119511,81.32,96351,65.56,96343,156100,144845,141191,139157,118849,103156,0.660832799,VV111,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV117,105.9012302,VV117.D9,Breeder_sows,363,363.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.81,5.62,5.71,0,4.92,5.28,4.65,0,0,6.85,6.23,4.81,0,5.32,5.19,5.32,0,0,0,3.81,9.74,5.33,5.84,98593,166815,156087,146117,93.61,142910,124122,79.52,98610,63.18,98593,166815,154067,150179,148360,125231,105734,0.633839883,VV117,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV086,92.05426357,VV086.B2,Breeder_sows,366,366.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,NA,6.65,5.63,4.58,4.55,4.71,5.36,4.2,3.81,4.28,6.14,6.15,5.28,4.46,0,3.51,0,0,3.81,0,4.55,10.79,7.06,1,114944,184222,172635,160197,92.8,157750,144958,83.97,114951,66.59,114944,184222,168940,165705,164434,145388,122224,0.66346039,VV086,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV113,87.55555556,VV113.D5,Breeder_sows,292,292.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.85,5.44,0,4.46,5.58,5.47,5.34,4.84,0,6.43,6.21,4.11,4.11,3.2,3.2,0,0,3.6,4.2,4.46,9.8,5.89,6.03,87530,145914,135664,127669,94.11,125144,110185,81.22,87537,64.52,87530,145914,135589,132639,130493,112082,94330,0.646476692,VV113,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV094,83.89129579,VV094.B10,Breeder_sows,366,366.T3,2,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,NA,6.59,4.94,4.35,4.46,0,4.71,4.58,3.98,0,6.49,5.76,4.89,4.11,0,4.51,3.81,0,0,0,4.65,10.32,5.49,1,95657,156873,146894,137550,93.64,135407,121675,82.83,95328,64.9,95326,156873,145344,142699,140553,121671,102092,0.650793954,VV094,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV100,80.45098414,VV100.C4,Breeder_sows,391,391.T4,1,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,NA,6.73,5.33,4.68,4.65,0,0,0,4.18,0,6.73,5.93,3.94,3.98,3.94,3.94,4.73,0,0,0,3.51,10.33,6.15,1,98740,161010,149379,139617,93.46,137031,122718,82.15,98746,66.1,98740,161010,148167,144768,143257,124468,105955,0.658064716,VV100,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV087,77.98165138,VV087.B3,Breeder_sows,369,369.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,NA,6.76,5.71,3.81,0,3.51,3.81,5.35,5.25,4.76,6.64,6.48,5.44,0,5.13,0,5.39,0,4.46,0,0,11.03,7.75,6.38,112180,166438,155605,145055,93.22,143228,132152,84.93,112184,72.1,112180,166438,153127,150644,149113,135061,119029,0.715155193,VV087,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV118,76.92307692,VV118.D10,Breeder_sows,366,366.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.7,5.59,0,4.83,5.42,5.43,5.34,5.16,0,6.83,6.78,4.51,4.11,5.25,5.25,5.25,0,0,0,3.51,9.96,5.38,5.81,85937,141885,132439,124666,94.13,122042,105940,79.99,85939,64.89,85937,141885,131891,128694,126917,107169,92707,0.653395355,VV118,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV093,72.65446224,VV093.B9,Breeder_sows,363,363.T3,2,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,NA,6.66,5.54,0,0,0,5.37,0,4.11,0,6.59,6.09,5.25,0,0,3.81,4.46,0,0,0,0,9.93,5.37,1,95326,169092,157605,146946,93.24,144076,126788,80.45,100381,63.69,100372,169092,155419,151730,149826,127480,106820,0.631727107,VV093,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV089,70.68273092,VV089.B5,Breeder_sows,292,292.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,NA,6.35,0,0,4.51,5.35,4.76,5.41,4.61,3.51,6.33,6.17,4.66,4.46,3.2,4.18,4.61,0,3.94,4.71,4.28,10.49,5.51,5.71,101066,159394,144670,135313,93.53,133040,118910,82.19,101068,69.86,101066,159394,146935,144025,142099,125048,110846,0.695421409,VV089,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV112,65.32314107,VV112.D4,Breeder_sows,379,379.T5,2,F,154,22,Gestation barn,Second growing,1 day prior to moving to sows barn,Growing,-28,NA,6.81,5.42,3.81,4.11,3.98,4.28,0,0,0,6.46,5.6,4.2,3.81,4.62,4.46,3.98,0,0,0,4.46,10.37,6.4,6.06,102516,167218,154970,144705,93.38,142360,129389,83.49,102516,66.15,102516,167218,153913,150959,149615,131753,110322,0.659749548,VV112,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV105,61.50608045,VV105.C9,Breeder_sows,292,292.T5,1,F,154,22,Gestation barn,Second growing,1 day prior to moving to sows barn,Growing,-28,NA,6.75,5.6,5.68,4.58,0,3.51,0,0,0,6.17,5.95,4.02,3.98,3.86,4.02,3.86,0,3.81,3.98,4.11,10.47,6.55,6.22,94155,160153,148820,138883,93.32,135921,119659,80.41,94157,63.27,94155,160153,146394,142788,141203,120008,100473,0.62735634,VV105,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV092,61.00843352,VV092.B8,Breeder_sows,391,391.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,NA,6.36,5.14,4.89,4.78,5.38,3.98,5.37,3.86,3.6,6.58,6.14,4.11,3.98,3.2,3.51,0,0,3.9,4.46,3.81,10.31,5.29,5.6,107575,173189,162629,151989,93.46,149498,135343,83.22,107584,66.15,107575,173189,159450,156484,154421,134954,114314,0.660053468,VV092,2,2,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV076,60.68431246,VV076.A4,Breeder_sows,391,391.T1,1,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,NA,6.88,6.65,5.46,0,5.5,6.35,2.2,4.98,4.64,6.54,6.39,4.72,4.95,4.58,4.66,4.59,0,0,4.46,0,10.88,7.48,6.39,105019,162638,151817,141337,93.1,138906,125679,82.78,105029,69.18,105019,162638,149808,146614,143694,126437,111605,0.686217243,VV076,4,1,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV107,57.19200172,VV107.C11,Breeder_sows,389,389.T5,1,F,154,22,Gestation barn,Second growing,1 day prior to moving to sows barn,Growing,-28,NA,6.87,5.72,0,0,3.81,4.94,5.26,4.11,0,6.74,5.93,3.51,0,4.39,3.98,4.52,0,0,3.81,4.51,10.25,5.76,5.64,92942,151643,142028,133337,93.88,130755,116241,81.84,92953,65.45,92942,151643,140313,137358,135419,117194,99433,0.655704517,VV107,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV135,48.66391484,VV135.F3,Breeder_sows,369,369.T8,2,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,NA,6.66,5.71,4.2,3.51,0,0,0,4.11,4.51,6.47,5.44,4.28,0,3.81,3.98,4.11,0,4.46,0,0,10.34,5.61,5.4,88558,143913,132832,124778,93.94,121968,107636,81.03,88567,66.68,88558,143913,132510,129152,126940,108578,95292,0.662150049,VV135,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV134,46.92663582,VV134.F2,Breeder_sows,366,366.T8,2,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,NA,6.86,5.81,0,3.81,4.2,0,5.22,3.81,0,6.47,5.63,4.2,3.81,4.2,4.58,4.2,0,3.81,0,0,9.91,5.48,6.34,82597,141990,131039,122897,93.79,119828,103547,79.02,82599,63.03,82597,141990,130982,127324,125230,104468,89524,0.630495105,VV134,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
